	ar
Do you know where my glasses are?	هل تعرف أين هي نظارتي؟
Do you like your co-workers?	هل تحب زملائك في العمل؟
Do you need anything else?	هل تحتاج شئ اخر؟
Do you understand?	هل تفهم؟
Give me the pen.	أعطني القلم.
How do you know?	كيف علمت بذلك؟
How is she?	كيف حالها؟
How long is it?	كم طوله؟
How many?	كم العدد؟
How much is it?	كم سعره؟
I have a lot of things to do.	لدي الكثير من الأشياء للقيام به.
In 30 minutes.	فى 30 دقيقة.
Is anyone else coming?	وأي شخص آخر قادم؟
Is everything ok?	هل كل شيء على ما يرام؟
Is it cold outside?	هو خارج الباردة؟
Is it far from here?	هل هو بعيد من هنا؟
Is it hot?	اهو ساخن؟
Is it raining?	هل تمطر؟
Is there anything cheaper?	هل هناك أي شيء أرخص؟
Is your son here?	هو ابنك هنا؟
Should I wait?	هل يجب ان انتظر؟
The big one or the small one?	واحدة كبيرة أو صغيرة واحدة؟
The cars are American.	السيارات هي الأميركية.
Were there any problems?	كان هناك أي مشاكل؟
Were you at the library last night?	هل كنت في المكتبة الليلة الماضية؟
What are you doing?	ماذا تفعل؟
What are you thinking about?	بم تفكر؟
What are you two talking about?	ما هي لكم اثنين من الحديث عنه؟
What did you do last night?	ماذا فعلت الليلة الماضية؟
What did you do yesterday?	ماذا فعلت البارحة؟
What did you think?	ماهو رأيك؟
What do they study?	وماذا أدرس؟
What do you have?	ماذا لديك؟
What do you think?	ماذا تعتقد؟
What happened?	ماذا حدث؟
What is it?	ما هذا؟
What is that?	ما هذا؟
What should I wear?	ما الذي يجب ان ارتديه؟
What's in it?	ماذا يوجد بداخلها؟
What's the temperature?	كم تبلغ درجة الحراره؟
What's this?	ما هذا؟
What's up?	ماذا تفعل؟
Where are you from?	من اين انت؟
Where can I rent a car?	أين يمكنني استئجار سيارة؟
Where did it happen?	أين حدث هذا؟
Where did you learn it?	أين أنت تعلم ذلك؟
Where is he?	أين هو؟
Where is he from?	من أين هو؟
"Which is better, the spaghetti or chicken salad?"	أيهما أفضل، والسباغيتي أو الدجاج سلطة؟
Which one do you want?	أي واحدة تريد؟
Which one is cheaper?	ايهما ارخص؟
Which one is the best?	أي واحد هو الأفضل؟
Which school does he go to?	المدرسة التي لم يذهب إليها؟
Who are they?	من هؤلاء؟
Who are you looking for?	على من تبحث؟
Who is it? (Inquiring about who is on the phone)	من هذا؟ (الاستفسار عن من هو على الهاتف)
Who's calling?	من يتصل؟
Who's that man over there?	من هو هذا الرجل هناك؟
Who taught you that?	الذي علمتك أن؟
Why did you say that?	لما قلت ذلك؟
Will you pass me the salt please?	سوف يمرر لي الملح من فضلك؟
Will you put this in the car for me?	وكنت وضعت هذا في السيارة بالنسبة لي؟
Would you ask him to call me back please?	هل يطلب منه الاتصال بي مرة أخرى من فضلك؟
Yes.	نعم.
You have a very nice car.	لديك سيارة جميلة جدا.
You look like my sister.	أنت تبدو وكأنها أختي.
Certainly!	من المؤكد!
Good afternoon.	طاب مسائك.
Good evening sir.	مساء الخير سيدي.
Good Luck.	حظا سعيدا.
Good morning.	صباح الخير.
Great.	عظيم.
Happy Birthday.	عيد ميلاد سعيد.
Have a good trip.	احظى برحلة جيدة.
Hello.	مرحبا.
Nice to meet you	تشرفت بمقابلتك
Please call me.	اتصل بي من فضلك.
Are you here alone?	هل أنت هنا لوحدك؟
Can I bring my friend?	يمكن أن أحمل صديقي؟
Can I have a receipt please?	هل يمكنني الحصول على إيصال من فضلك؟
Can it be cheaper?	يمكن أن يكون أرخص؟
Can we have a menu please.	يمكن لدينا قائمة من فضلك.
Can you hold this for me?	يمكنك الاستمرار على هذا بالنسبة لي؟
Do you have any children?	هل لديك أطفال؟
Do you know how much it costs?	هل تعرف كم يكلف؟
Have you eaten at that restaurant?	هل أكلت في هذا المطعم؟
Have you eaten yet?	هل تؤكل بعد؟
Have you ever had Potato soup?	هل كان لديك أي وقت مضى حساء البطاطا؟
He likes juice but he doesn't like milk	يحب عصير لكنه لا يحب الحليب
Here is your salad.	هنا هو سلطتك.
Here's your order.	هنا طلبك.
How does it taste?	كيف طعمها؟
How many people? (restaurant)	كم عدد الاشخاص؟ (مطعم)
I agree.	أنا موافق.
I'd like a table near the window.	أود طاولة قرب النافذة.
I'd like to call the United States.	أود أن ندعو الولايات المتحدة.
I haven't been there.	لم أكن هناك.
I haven't finished eating.	أنا لم تنته تناول الطعام.
I like it.	احب ذلك.
I'll give you a call.	سوف أعطيك مكالمة.
I'll have a cup of tea please.	سآخذ كوب من الشاي من فضلك.
I'll have a glass of water please.	سآخذ كوب من الماء من فضلك.
I'm from America.	انا من امريكا.
I'm going to bed.	انا ذاهب الى السرير.
I'm here on business.	انا هنا للعمل.
I'm sorry.	أنا آسف.
I only have 5 dollars.	ليس لدي سوى 5 دولارات.
I think I need to see a doctor.	أعتقد أنني بحاجة لرؤية الطبيب.
It's August 25th.	انها 25 أغسطس.
I understand.	أفهم.
June 3rd.	3 يونيو.
The food was delicious.	الأكل كان لذيذا.
There are some apples in the refrigerator.	هناك بعض التفاح في الثلاجة.
There's a restaurant near here.	وهناك مطعم قريب من هنا.
"There's a restaurant over there, but I don't think it's very good."	وهناك مطعم هناك، لكنني لا أعتقد انها جيدة جدا.
Waiter!	نادل!
Waitress!	نادلة!
We can eat Italian or Chinese food.	يمكننا أن نأكل الطعام الإيطالي أو الصيني.
We'll have two glasses of water please.	سيتعين علينا كأسين من الماء من فضلك.
What are you going to have?	ماذا ستكون لدينا؟
What do you recommend?	بماذا توصي؟
What's your email address?	ما هو عنوان بريدك الالكترونى؟
What would you like to drink?	ماذا تحب أن تشرب؟
What would you like to eat?	ماذا تريد أن تأكل؟
Where is an ATM?	أين هو جهاز الصراف الآلي؟
Where is there a doctor who speaks English?	حيث هناك الطبيب الذي يتحدث الانجليزية؟
Which one?	أي واحدة؟
Would you ask him to come here?	هل يطلب منه المجيء الى هنا؟
Would you like a glass of water?	هل تريد كأس من الماء؟
Would you like coffee or tea?	هل تود القهوة ام الشاي؟
Would you like something to drink?	هل تحب ان تشرب شيئا؟
Would you like some water?	هل تريد بعض الماء؟
Would you like some wine?	هل تريد بعض النبيذ؟
Would you like to go for a walk?	أتريد أن تذهب في نزهة على الأقدام؟
Would you like to watch TV?	هل ترغب في مشاهدة التلفزيون؟
11 days ago.	قبل 11 يوما.
2 hours.	ساعاتين.
All day.	طوال اليوم.
A long time ago.	منذ وقت طويل.
Are they coming this evening?	يأتون هذا المساء؟
Are you comfortable?	هل أنت مرتاح؟
Are your children with you?	هل أطفالك معك؟
As soon as possible.	في أقرب وقت ممكن.
At 3 o'clock in the afternoon.	في 3:00 بعد الظهر.
At 5th street.	في الشارع 5TH.
At 7 o'clock at night. (evening)?	في 07:00 ليلا. (مساء)؟
At 7 o'clock in the morning.	في 7:00 في الصباح.
At what time did it happen?	في وقت ما أنه لم يحدث؟
Can I help you?	أيمكنني مساعدتك؟
Do you have a swimming pool?	هل لديك حمام السباحة؟
Do you have this in size 11?	هل لديك هذا في حجم 11؟
Do you think you'll be back by 11:30?	هل تعتقد أن عليك أن تكون العودة قبل 11:30؟
Everyday I get up at 6AM.	كل يوم أستيقظ في 06:00.
Every week.	كل اسبوع.
Expiration date.	تاريخ إنتهاء الصلاحية.
Have you been waiting long?	هل تم الانتظار لفترة طويلة؟
He'll be back in 20 minutes.	وسوف تكون العودة في 20 دقيقة.
His family is coming tomorrow.	عائلته قادم غدا.
How about Saturday?	ماذا عن يوم السبت؟
How long are you going to stay?	كم المدة التي تنوي بقاءها؟
How long are you going to stay in California?	متى انت ذاهب الى البقاء في ولاية كاليفورنيا؟
How long will it take?	كم من الوقت سوف يستغرق؟
How much altogether?	كم تماما؟
How much will it cost?	كم ستكون التكلفة؟
I don't have enough money.	ليس لدي ما يكفي من المال.
I'm getting ready to go out.	اريد ان اكون مستعدا للخروج.
I'm just looking. (Shopping)	أنا فقط أبحث. (التسوق)
I'm worried too.	أنا قلق جدا.
It'll be cold this evening.	انها سوف تكون باردة هذا المساء.
It rained very hard today.	هطلت الأمطار من الصعب جدا اليوم.
It's 17 dollars.	انها 17 دولارا.
It's 6AM.	انها 6:00.
It's 8:45.	انها 8:45.
It's a quarter to 7.	انها ربع إلى 7.
It's going to snow today.	انها سوف الثلوج اليوم.
It's here.	إنه هنا.
It's there.	إنه هناك.
I've already seen it.	رأيت بالفعل.
John is going on vacation tomorrow.	جون هو ذاهب لقضاء اجازة غدا.
My birthday is August 27th.	عيد ميلادي هو 27 أغسطس.
Now or later?	الآن أو في وقت لاحق؟
October 22nd.	22 أكتوبر.
She wants to know when you're coming.	إنها تريد أن تعرف متى كنت المقبلة.
"Sometimes I go to sleep at 11PM, sometimes at 11:30PM."	أحيانا أذهب إلى النوم في 11:00، وأحيانا الساعة 11:30 AM.
There's plenty of time.	هناك متسع من الوقت.
The whole day.	اليوم بأكمله.
We're late.	نحن متاخرون.
What day are they coming over?	يوم ما يأتون من جديد؟
What day of the week is it?	أي يوم في الإسبوع هذا؟
What is today's date?	ماهو تاريخ اليوم؟
What's your religion?	ما دينك؟
What time are they arriving?	وقت ما هم يصلون؟
What time did you get up?	في أي وقت استيقظت؟
What time did you go to sleep?	وقت ما لم تذهب إلى النوم؟
What time did you wake up?	فى اى وقت استيقظت؟
What time does it start?	ما الوقت الذي تبدأ فيه؟
What time do you think you'll arrive?	ما الوقت هل تعتقد انك سوف تصل؟
What time is it?	أي ساعة؟
When are they coming?	متى سيأتون؟
When are you coming back?	متى ستعود؟
When are you going to pick up your friend?	عندما أنت ذاهب إلى التقاط صديقك؟
When are you leaving?	متى ستغادر؟
When are you moving?	عندما أنت تتحرك؟
When is the next bus to Philidalphia?	عندما يكون الحافلة القادمة إلى Philidalphia؟
When is your birthday?	متى يحين عيد ميلادك؟
"When I went to the store, they didn't have any apples."	عندما ذهبت الى المتجر، لم يكن لديهم أي التفاح.
When was the last time you talked to your mother?	متى كانت آخر مرة تحدثت إلى والدتك؟
When will he be back?	متى هو سوف يرجع؟
When will it be ready?	متى سيكون جاهز؟
Where are you going to go?	الى أين ستذهب؟
6 dollars per hour.	6 دولارات في الساعة.
Are you waiting for someone?	هل تنتظر أحدا؟
Are you working today?	هل تعمل اليوم؟
Bring me my shirt please.	أحضر لي قميصي من فضلك.
Do you like to watch TV?	هل تحب أن تشاهد التلفاز؟
Do you like your boss?	هل تحب رئيسك في العمل؟
Have you finished studying?	هل أنهيت دراستي؟
He's an Engineer.	هو مهندس.
He's very hard working.	انه عمل صعب جدا.
He works at a computer company in New York.	وهو يعمل في شركة كمبيوتر في نيويورك.
How long have you worked here?	منذ متى وأنت تعمل هنا؟
How many hours a week do you work?	كم ساعة في الأسبوع تعمل؟
How much money do you have?	كم من المال لديك؟
How's the weather?	كيف هو الطقس؟
How was the trip?	كيف كانت الرحلة؟
I forget.	لقد نسيت.
I'm good.	أنا بخير.
I'm ready.	أنا مستعد.
I still have a lot of things to buy.	لا يزال لدي الكثير من الأشياء لشراء.
I've seen it.	لقد رأيت ذلك.
What does he do for work?	ماذا يفعل للعمل؟
What does your father do for work?	ماذا يفعل والدك للعمل؟
What do you do for work?	ماذا تفعل للعمل؟
What do your parents do for work?	ما يفعله والداك للعمل؟
What's the matter?	ما هو الأمر؟
What time do you go to work everyday?	وقت ما تذهب إلى العمل كل يوم؟
When do you arrive in the U.S.?	متى يصل في الولايات المتحدة؟
When do you get off work?	عندما تحصل على التوقف عن العمل؟
Where did you put it?	اين وضعتها؟
Where does it hurt?	أين موضع الألم؟
Where do you want to go?	أين تريد أن تذهب؟
Am I pronouncing it correctly?	هل أنطقها بشكل صحيح؟
Can you do me a favor?	هل يمكنك أن تسدي لي خدمة؟
Can you help me?	هل تستطيع مساعدتي؟
Can you please say that again?	هل يمكنكم أن أقول مرة أخرى؟
Can you show me?	هل تستطيع أن تريني؟
Can you throw that away for me?	يمكنك رمي بعيدا بالنسبة لي؟
Does anyone here speak English?	هل من أحد هنا يتحدث الإنجليزية؟
Don't do that.	لا تفعل ذلك.
Do you believe that?	هل تصدق ذلك؟
Do you have a pencil?	هل لديك قلم رصاص؟
Do you smoke?	هل تدخن؟
Do you speak English?	هل تتكلم اللغة الإنجليزية؟
"Excuse me, what did you say?"	عفوا، ماذا قلت؟
Forget it.	انسى ذلك.
How do you pronounce that?	كيف تنطق هذا؟
How do you say it in English?	كيف تقولها باللغة الإنجليزية؟
How do you spell it?	كيف تنطقها؟
"How do you spell the word ""Seattle?"""	"كيف تتهجى كلمة ""سياتل؟"""
I can swim.	استطيع ان اسبح.
I can't hear you clearly.	لا أستطيع أن أسمعك بوضوح.
I don't mind.	لا مانع.
I don't speak English very well.	أنا لا أتكلم الإنجليزية جيدا.
I don't think so.	لا أعتقد ذلك.
I don't understand what your saying.	أنا لا أفهم ما قولك.
Is there air conditioning in the room?	هناك تكييف الهواء في الغرفة؟
I think you have too many clothes.	اعتقد ان لديك الكثير من الملابس.
I trust you.	أنا أثق بك.
I understand now.	أنا أفهم الآن.
Let's meet in front of the hotel.	لقاء دعونا أمام الفندق.
Please sit down.	من فضلك اجلس.
Please speak English.	أرجوك تكلم بالإنجليزية.
Please speak more slowly.	من فضلك تكلم ببطء أكثر.
"Sorry, I didn't hear clearly."	عذرا، لم أسمع بوضوح.
That means friend.	وهذا يعني صديق.
That's wrong.	ذلك خطأ.
Try to say it.	حاول أن يقول ذلك.
What does this mean?	ماذا يعني هذا؟
What does this say?	ماذا يعني هذا القول؟
What does this word mean?	ماذا تعني هذه الكلمة؟
What's the exchange rate?	ما هو سعر الصرف؟
Whose book is that?	لمن هذا الكتاب؟
Why aren't you going?	لماذا لا تذهب؟
Why are you laughing?	لماذا تضحك؟
Why did you do that?	لماذا فعلت ذلك؟
Can I have a glass of water please?	هل يمكنني الحصول على كوب من الماء من فضلك؟
Can I use your phone?	هل يمكنني استخدام هاتفك؟
Do you have any vacancies?	هل لديك أي شواغر؟
Do you have the number for a taxi?	هل لديك رقم لسيارة أجرة؟
Do you know her?	هل تعرفها؟
Do you know where she is?	هل تعلم اين هي؟
Do you play basketball?	هل تلعب كرة السلة؟
"Fill it up, please. (gas station)"	املأها من فضلك. (محطة غاز)
He needs some new clothes.	وهو يحتاج لبعض الملابس الجديدة.
How much is that?	كم ثمن ذلك؟
How much is this?	كم ثمن هذا؟
I believe you.	اصدقك.
I'd like the number for the Hilton Hotel please.	أود عدد لفندق هيلتون فضلك.
I'd like to buy a phone card please.	أود أن شراء بطاقة الهاتف من فضلك.
I'd like to go home.	أود العودة إلى ديارهم.
I'd like to go shopping.	أود أن تذهب للتسوق.
If you like it I can buy more.	إذا كنت ترغب في ذلك يمكنني شراء المزيد.
I'm a beginner.	انا مبتدئ.
I'm full.	انا ممتلئ.
I'm just kidding.	أنا أمزح.
I'm single.	أنا أعزب.
I speak two languages.	اتكلم لغتين.
I thought he said something else.	اعتقدت قال شيئا آخر.
It's not too far.	انه ليس بعيدا.
I usually drink coffee at breakfast.	أنا عادة شرب القهوة في وجبة الإفطار.
"Sorry, we don't have any."	عذرا، ليس لدينا أي.
The books are expensive.	الكتب غالية الثمن.
Try it on.	في محاولة على.
What do you want to buy?	ماذا تريد ان تشتري؟
What size?	ما حجم؟
What time does the store open?	وقت ما يفعل العراء المتجر؟
When does the plane arrive?	متى تصل الطائرة؟
Where are you?	أين أنت؟
Would you like something to eat?	هل تريد شيئا لتأكله؟
